날짜,시가,고가,저가,종가,거래량,외국인소진율
20260608,293000,315500,292500,295500,38929682,47.7
20260609,310000,324000,300000,322000,30124249,47.68
20260610,311000,314500,295250,302500,27050362,47.61
20260611,290500,306500,287500,299000,31420307,47.58
20260612,326000,339000,320000,322500,31006148,47.63
20260615,342500,344500,334000,337000,21500067,47.6
20260616,343000,345500,332500,343000,17548685,47.6
20260617,332000,348000,331500,346500,18134051,47.57
20260618,345000,363000,344500,362500,32764450,47.62
20260619,372500,374500,346250,354000,43284898,47.56
20260622,343000,363000,342000,353500,24330451,47.52
20260623,347500,353000,310000,310000,41266630,47.43
20260624,314000,341000,314000,340500,47809959,47.41
20260625,359500,362500,352000,358500,36157158,47.37
20260626,354000,356500,321500,339500,39735951,47.24
20260629,331000,335500,316000,323000,35436521,47.01
20260630,323500,343000,321000,334000,29237216,46.96
20260701,334500,339000,311500,314500,24968382,46.88
20260702,290000,304000,281500,286000,38905074,46.76
20260703,288500,313000,283500,309500,31520538,46.72
20260706,320000,325000,303000,318000,23872879,46.69
